DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
08/01/2015,13:05,MANHATTAN,10002,40.7190253,-73.9897692,"(40.7190253, -73.9897692)",DELANCEY STREET,ORCHARD STREET,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3268830,PASSENGER VEHICLE,BICYCLE,,,
08/01/2015,12:45,BROOKLYN,11216,40.6760949,-73.9499135,"(40.6760949, -73.9499135)",NOSTRAND AVENUE,BERGEN STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3269149,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,13:15,QUEENS,11377,40.7453924,-73.9066122,"(40.7453924, -73.9066122)",ROOSEVELT AVENUE,58 STREET,,1,0,0,0,1,0,0,0,Passenger Distraction,Physical Disability,,,,3273272,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,13:50,BROOKLYN,11225,40.6696356,-73.9619476,"(40.6696356, -73.9619476)",CLASSON AVENUE,PRESIDENT STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3268430,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,14:41,BRONX,10458,40.8695216,-73.8898927,"(40.8695216, -73.8898927)",EAST 198 STREET,VALENTINE AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3268351,PASSENGER VEHICLE,BICYCLE,,,
07/31/2015,23:50,BRONX,10457,40.851891,-73.8943174,"(40.851891, -73.8943174)",EAST 181 STREET,BATHGATE AVENUE,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3270235,LIVERY VEHICLE,BICYCLE,,,
07/31/2015,23:36,MANHATTAN,10009,40.7239136,-73.9879718,"(40.7239136, -73.9879718)",EAST 2 STREET,1 AVENUE,,1,0,0,0,1,0,0,0,Illness,Unspecified,,,,3268834,UNKNOWN,BICYCLE,,,
07/31/2015,23:35,QUEENS,11373,40.7428894,-73.8828303,"(40.7428894, -73.8828303)",BROADWAY,82 STREET,,1,0,0,0,1,0,0,0,Physical Disability,Unspecified,,,,3269286,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/31/2015,23:10,MANHATTAN,10003,40.7344344,-73.9899039,"(40.7344344, -73.9899039)",EAST 14 STREET,4 AVENUE,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3268832,BICYCLE,PASSENGER VEHICLE,,,
07/31/2015,14:55,BROOKLYN,11210,40.6362074,-73.9489851,"(40.6362074, -73.9489851)",FARRAGUT ROAD,EAST 29 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3269654,PASSENGER VEHICLE,BICYCLE,,,
