fac_type,lic_num,park_num,X,Y
Parking Garage,368468,24,-73.95824545,40.61896981
Parking Garage,368502,150,-73.98740068,40.75454296
Parking Garage,368506,44,-73.98336273,40.73169119
Parking Garage,368546,99,-73.99320082,40.73751642
Parking Lot,368580,14,-73.97331339,40.67526665
Parking Lot,368585,176,-73.95762279,40.76428856
Parking Garage,368594,40,-73.97499004,40.7555502
Parking Garage,368600,300,-73.96423751,40.76386331
Parking Garage,368602,33,-73.82147855,40.7512998
Parking Garage,368610,58,-73.98984684,40.75977701
Parking Garage,368677,27,-73.95999154,40.77658371
Parking Garage,368705,46,-73.98887215,40.73194395
Parking Garage,368732,50,-73.99193193,40.69537538
Parking Lot,368777,18,-73.98701986,40.76352469
Parking Garage,368822,271,-73.97994336,40.77453614
Parking Garage,368909,175,-73.96677024,40.75268136
Parking Garage,368910,130,-74.0012083,40.71302248
Parking Garage,368933,50,-74.02398979,40.62571793
Parking Lot,369040,300,-74.00033293,40.76251545
Parking Garage,369041,129,-73.99535654,40.73676289
Parking Garage,369201,90,-73.97222646,40.75238374
Parking Garage,369221,94,-73.98558985,40.76046678
Parking Garage,369314,174,-73.95918394,40.76920533
Parking Garage,369346,235,-73.97274152,40.74833624
Parking Garage,369373,83,-73.97770599,40.77383342
Parking Garage,369462,88,-73.96355966,40.77721487
Parking Lot,369548,12,-73.98735263,40.76114784
Parking Lot,369603,8,-73.97668803,40.6454806
Parking Garage,369606,120,-73.96072679,40.76317645
Parking Lot,369661,160,-74.00033293,40.76251545
Parking Lot,369751,180,-73.95918394,40.76920533
Parking Garage,369771,16,-73.92514332,40.64242067
Parking Garage,369777,122,-73.98245546,40.76405124
Parking Garage,369823,150,-73.9731824,40.7580683
Parking Lot,369838,263,-73.79462154,40.73987184
Parking Garage,369933,85,-73.97948665,40.74715953
Parking Garage,369939,341,-73.97851708,40.76257917
Parking Garage,369956,150,-74.01911251,40.68882783
Parking Garage,369984,198,-74.07663799,40.64041829
Parking Lot,427071,42,-73.99821858,40.71761814
Parking Garage,427085,150,-73.97264281,40.78920283
Parking Garage,427101,90,-73.95331334,40.77008929
Parking Garage,427125,225,-73.98840792,40.75751972
Parking Garage,427177,125,-73.97580842,40.74804086
Parking Garage,427235,300,-73.96860485,40.79748559
Parking Garage,427236,300,-73.96862284,40.79749458
Parking Garage,427239,180,-73.94774958,40.78334824
Parking Garage,427264,217,-74.00760845,40.71850713
Parking Lot,427285,50,-74.00957483,40.71487126
Parking Garage,427301,175,-73.9918055,40.76761165
Parking Garage,427303,201,-73.97667177,40.78926578
Parking Garage,427304,96,-73.97659128,40.78926034
Parking Garage,427311,175,-73.95429664,40.7798229
Parking Garage,427326,150,-73.94718655,40.77926385
Parking Garage,427357,100,-73.88756393,40.8771051
Parking Lot,427414,8,-73.98578881,40.73009282
Parking Garage,427429,180,-74.00392527,40.73119375
Parking Garage,427552,180,-73.98029604,40.73594498
Parking Garage,427562,250,-73.97488576,40.78005843
Parking Garage,427688,175,-73.9873827,40.76691763
Parking Lot,427820,20,-73.86306967,40.8344255
Parking Garage,427868,120,-74.00337264,40.74881428
Parking Lot,427881,50,-73.93536591,40.85089632
Parking Garage,427913,125,-73.96250745,40.80079509
Parking Garage,427916,100,-74.00639814,40.73955267
Parking Garage,427924,230,-73.98481064,40.76174653
Parking Garage,428016,120,-73.99789641,40.72553802
Parking Garage,428135,129,-73.99563847,40.74241111
Parking Garage,428302,45,-73.98171697,40.74949776
Parking Garage,428399,250,-74.00731147,40.74000275
Parking Lot,428456,115,-73.99682418,40.75275961
Parking Lot,428539,20,-73.86254764,40.83246663
Garage - Parking Lot Combo,428990,110,-73.96824512,40.77077572
Parking Garage,429031,1000,-73.99236494,40.77072176
Parking Garage,429204,86,-73.96501211,40.77493734
Parking Garage,429281,26,-73.88752832,40.8709546
Parking Garage,429352,150,-74.00769838,40.73559424
Parking Lot,429424,25,-73.88507233,40.85488015
Parking Garage,429461,55,-73.96003431,40.78204423
Parking Garage,429467,200,-73.9852603,40.78131578
Parking Lot,429477,41,-73.98655532,40.76001983
Parking Garage,429522,100,-73.97965667,40.78367724
Parking Garage,429528,150,-73.9966915,40.75684077
Parking Lot,429530,41,-73.98984305,40.75974273
Parking Lot,429629,290,-74.00033293,40.76251545
Parking Garage,429658,155,-73.9811232,40.75034748
Parking Garage,429675,90,-74.17870866,40.56354984
Parking Garage,429678,41,-73.95062815,40.78177
Parking Garage,429682,149,-73.97956759,40.74545981
Parking Garage,429690,70,-73.94663442,40.77234954
Parking Lot,429693,25,-73.99248481,40.7380489
Parking Lot,429832,78,-73.99173321,40.76708745
Parking Garage,429844,80,-73.98106068,40.75031988
Parking Garage,429851,457,-73.98114899,40.71534873
Parking Lot,429855,10,-73.98654745,40.72892965
Parking Lot,429883,41,-73.98715355,40.76112721
Parking Lot,469004,15,-73.97576085,40.78465486
Parking Garage,469029,300,-73.9629615,40.80101768
Parking Garage,469141,25,-73.97603839,40.74568093
Parking Garage,469165,76,-73.96185095,40.75573007
Parking Lot,469196,15,-73.99567625,40.72349412
Parking Lot,469197,95,-73.9887104,40.76015212
